,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXIN Index Settings Total Return Analysis,,,,,,,,,,,,,
Range12/31/1992 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 360 Month Holding Period Chart,,,,,,,,,,,,,
MSCI India Index Max Cuml Total Return 1120.1678% On 09/30/2021,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
7/31/2008,13.5,0.03504,290.77%,396.89%,6.71%,7.01%,,,,,,,
,,,,,,,,,,,,,
6/30/2008,12.65,0.01688,266.19%,364.36%,-20.19%,-20.09%,,,,,,,
5/30/2008,15.85,0.03988,358.80%,481.08%,-9.65%,-9.43%,,,,,,,
4/30/2008,17.54,0.00569,407.83%,541.58%,10.81%,10.84%,,,,,,,
,,,,,,,,,,,,,
3/31/2008,15.83,0.00446,358.29%,478.81%,-12.67%,-12.64%,,,,,,,
2/29/2008,18.13,0.00617,424.76%,562.55%,-2.44%,-2.41%,,,,,,,
1/31/2008,18.58,0.00176,437.91%,578.93%,-14.36%,-14.35%,,,,,,,
,,,,,,,,,,,,,
12/31/2007,21.7,0.01022,528.08%,692.66%,7.45%,7.51%,,,,,,,
11/30/2007,20.19,0.00683,484.51%,637.33%,-1.93%,-1.89%,,,,,,,
10/31/2007,20.59,0.00744,496.00%,651.57%,16.65%,16.69%,,,,,,,
,,,,,,,,,,,,,
9/28/2007,17.65,0.00915,410.95%,544.05%,17.05%,17.12%,,,,,,,
8/31/2007,15.08,0.0182,336.52%,449.91%,-3.18%,-3.06%,,,,,,,
7/31/2007,15.57,0.01704,350.87%,467.28%,5.90%,6.01%,,,,,,,
,,,,,,,,,,,,,
6/29/2007,14.71,0.0426,325.76%,435.10%,0.47%,0.77%,,,,,,,
5/31/2007,14.64,0.00499,323.79%,431.03%,7.00%,7.04%,,,,,,,
4/30/2007,13.68,0.00612,296.07%,396.12%,12.08%,12.14%,,,,,,,
,,,,,,,,,,,,,
3/30/2007,12.21,0.03061,253.37%,342.43%,2.86%,3.12%,,,,,,,
2/28/2007,11.87,0.00375,243.55%,329.04%,-8.66%,-8.63%,,,,,,,
1/31/2007,12.99,0.0022,276.11%,369.57%,2.54%,2.56%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXIN Index Settings Total Return Analysis,,,,,,,,,,,,,
