,,,,,,,,,,,
,,,,,,,,,,,
MXID Index Settings Total Return Analysis,,,,,,,,,,,
Range11/29/1991 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 373 Month Holding Period Chart,,,,,,,,,,,
MSCI Indonesia Index Max Cuml Total Return 456.8318% On 04/29/2022,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
5/29/2009,0.25,0.00043,29.62%,89.22%,11.84%,12.03%,,,,,
4/30/2009,0.23,--,15.89%,68.90%,31.13%,31.13%,,,,,
,,,,,,,,,,,
3/31/2009,0.17,--,-11.62%,28.81%,19.49%,19.49%,,,,,
2/27/2009,0.15,--,-26.03%,7.80%,-9.15%,-9.15%,,,,,
1/30/2009,0.16,0.00026,-18.58%,18.66%,-4.52%,-4.37%,,,,,
,,,,,,,,,,,
12/31/2008,0.17,--,-14.73%,24.09%,19.57%,19.57%,,,,,
11/28/2008,0.14,0.00008,-28.68%,3.78%,-12.13%,-12.07%,,,,,
10/31/2008,0.16,0.00121,-18.84%,18.03%,-38.60%,-38.16%,,,,,
,,,,,,,,,,,
9/30/2008,0.26,--,32.18%,90.87%,-22.18%,-22.18%,,,,,
8/29/2008,0.33,0.00013,69.85%,145.26%,-6.76%,-6.72%,,,,,
7/31/2008,0.36,0.00368,82.16%,162.94%,-0.99%,0.08%,,,,,
,,,,,,,,,,,
6/30/2008,0.36,0.00407,83.98%,162.74%,-3.92%,-2.84%,,,,,
5/30/2008,0.38,0.00044,91.49%,170.42%,4.32%,4.43%,,,,,
4/30/2008,0.36,0.00031,83.56%,158.94%,-6.03%,-5.95%,,,,,
,,,,,,,,,,,
3/31/2008,0.38,--,95.34%,175.32%,-11.59%,-11.59%,,,,,
2/29/2008,0.43,--,120.96%,211.43%,7.92%,7.92%,,,,,
1/31/2008,0.4,--,104.75%,188.58%,-1.95%,-1.95%,,,,,
,,,,,,,,,,,
12/31/2007,0.41,--,108.81%,194.30%,0.59%,0.59%,,,,,
11/30/2007,0.41,0.00202,107.59%,192.59%,0.29%,0.82%,,,,,
10/31/2007,0.41,0.00035,106.99%,190.22%,16.04%,16.15%,,,,,
,,,,,,,,,,,
9/28/2007,0.35,--,78.37%,149.87%,12.44%,12.44%,,,,,
8/31/2007,0.31,0.00042,58.64%,122.23%,-6.12%,-5.99%,,,,,
7/31/2007,0.33,0.00231,68.97%,136.38%,8.53%,9.27%,,,,,
,,,,,,,,,,,
6/29/2007,0.31,0.00389,55.70%,116.34%,1.60%,2.91%,,,,,
5/31/2007,0.3,0.00018,53.25%,110.21%,4.45%,4.51%,,,,,
4/30/2007,0.29,0.00069,46.73%,101.14%,8.15%,8.41%,,,,,
,,,,,,,,,,,
3/30/2007,0.27,--,35.67%,85.54%,6.60%,6.60%,,,,,
2/28/2007,0.25,--,27.27%,74.06%,-3.49%,-3.49%,,,,,
1/31/2007,0.26,--,31.88%,80.36%,-4.75%,-4.75%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MXID Index Settings Total Return Analysis,,,,,,,,,,,
Range11/29/1991 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 373 Month Holding Period Chart,,,,,,,,,,,
MSCI Indonesia Index Max Cuml Total Return 456.8318% On 04/29/2022,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr
12/29/2006,0.27,0.00037,38.46%,89.36%,4.94%,5.09%,,,,,
11/30/2006,0.26,0.00013,31.94%,80.19%,9.85%,9.90%,,,,,
10/31/2006,0.24,0.00056,20.12%,63.96%,3.31%,3.55%,,,,,
,,,,,,,,,,,
9/29/2006,0.23,--,16.27%,58.34%,5.04%,5.04%,,,,,
8/31/2006,0.22,--,10.69%,50.74%,6.10%,6.10%,,,,,
7/31/2006,0.21,0.00248,4.33%,42.07%,5.07%,6.40%,,,,,
,,,,,,,,,,,
6/30/2006,0.2,0.00231,-0.71%,33.53%,-0.91%,0.29%,,,,,
5/31/2006,0.2,0.00017,0.21%,33.14%,-14.21%,-14.14%,,,,,
