,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
6/30/2010,747.5,3.0193,764.27%,1855.11%,-2.73%,-2.35%,,,
5/31/2010,768.47,4.81824,788.52%,1902.10%,-16.24%,-15.75%,,,
4/30/2010,917.51,0.15804,960.84%,2276.29%,-1.03%,-1.02%,,,
,,,,,,,,,
3/31/2010,927.09,6.86313,971.91%,2300.70%,7.91%,8.75%,,,
2/26/2010,859.13,7.17503,893.34%,2107.59%,2.61%,3.48%,,,
1/29/2010,837.27,--,868.07%,2033.29%,-6.86%,-6.86%,,,
,,,,,,,,,
12/31/2009,898.98,0.92629,939.41%,2190.50%,1.78%,1.89%,,,
11/30/2009,883.21,6.95947,921.19%,2147.92%,2.71%,3.52%,,,
10/30/2009,859.95,0.20428,894.29%,2071.56%,-0.60%,-0.58%,,,
,,,,,,,,,
9/30/2009,865.16,3.29239,900.31%,2084.17%,11.49%,11.95%,,,
8/31/2009,776.02,9.86151,797.25%,1851.01%,7.05%,8.45%,,,
7/31/2009,724.88,--,738.12%,1698.92%,10.43%,10.43%,,,
,,,,,,,,,
6/30/2009,656.43,3.09079,658.98%,1529.04%,4.57%,5.08%,,,
5/29/2009,627.73,3.30796,625.80%,1450.32%,10.28%,10.89%,,,
4/30/2009,569.21,0.12891,558.13%,1298.05%,10.68%,10.70%,,,
,,,,,,,,,
3/31/2009,514.3,3.81693,494.64%,1162.90%,15.57%,16.58%,,,
2/27/2009,445.02,7.37155,414.54%,983.32%,-4.26%,-2.69%,,,
1/30/2009,464.81,--,437.42%,1013.26%,-13.81%,-13.81%,,,
,,,,,,,,,
12/31/2008,539.29,1.14611,523.54%,1191.66%,6.50%,6.74%,,,
11/28/2008,506.39,6.31776,485.50%,1110.05%,-8.09%,-7.06%,,,
10/31/2008,550.99,0.54116,537.06%,1202.00%,-25.16%,-25.10%,,,
,,,,,,,,,
9/30/2008,736.22,7.68268,751.23%,1638.28%,-17.28%,-16.53%,,,
8/29/2008,890,10.08863,929.04%,1982.51%,-5.46%,-4.37%,,,
7/31/2008,941.44,--,988.51%,2077.69%,-6.65%,-6.65%,,,
,,,,,,,,,
