,,,,,,,,,
,,,,,,,,,
MXUS Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1969 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 636 Month Holding Period Chart,,,,,,,,,
MSCI USA Price Return USD Index Max Cuml Total Return 7537.8452% On 12/31/2021,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
6/29/1990,330.9,--,230.90%,230.90%,-0.64%,-0.64%,,,
5/31/1990,333.04,--,233.04%,233.04%,8.94%,8.94%,,,
4/30/1990,305.7,--,205.70%,205.70%,-2.33%,-2.33%,,,
,,,,,,,,,
3/30/1990,312.99,--,212.99%,212.99%,2.07%,2.07%,,,
2/28/1990,306.64,--,206.64%,206.64%,1.19%,1.19%,,,
1/31/1990,303.04,--,203.04%,203.04%,-6.77%,-6.77%,,,
,,,,,,,,,
12/29/1989,325.03,--,225.03%,225.03%,1.98%,1.98%,,,
11/30/1989,318.73,--,218.73%,218.73%,1.78%,1.78%,,,
10/31/1989,313.15,--,213.15%,213.15%,-2.54%,-2.54%,,,
,,,,,,,,,
9/29/1989,321.31,--,221.31%,221.31%,-0.48%,-0.48%,,,
8/31/1989,322.87,--,222.87%,222.87%,1.24%,1.24%,,,
7/31/1989,318.92,--,218.92%,218.92%,8.87%,8.87%,,,
,,,,,,,,,
6/30/1989,292.93,--,192.93%,192.93%,-0.66%,-0.66%,,,
5/31/1989,294.88,--,194.88%,194.88%,3.56%,3.56%,,,
4/28/1989,284.75,--,184.75%,184.75%,5.12%,5.12%,,,
,,,,,,,,,
3/31/1989,270.88,--,170.88%,170.88%,1.94%,1.94%,,,
2/28/1989,265.73,--,165.73%,165.73%,-3.29%,-3.29%,,,
1/31/1989,274.78,--,174.78%,174.78%,7.29%,7.29%,,,
,,,,,,,,,
12/30/1988,256.1,--,156.10%,156.10%,1.32%,1.32%,,,
11/30/1988,252.76,--,152.76%,152.76%,-1.85%,-1.85%,,,
10/31/1988,257.53,--,157.53%,157.53%,2.75%,2.75%,,,
,,,,,,,,,
9/30/1988,250.63,--,150.63%,150.63%,3.95%,3.95%,,,
8/31/1988,241.11,--,141.11%,141.11%,-3.67%,-3.67%,,,
7/29/1988,250.29,--,150.29%,150.29%,-0.62%,-0.62%,,,
,,,,,,,,,
6/30/1988,251.85,--,151.85%,151.85%,4.33%,4.33%,,,
