,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
6/30/2014,0.58,0.00024,358.92%,518.20%,0.93%,0.97%,,,,,
5/30/2014,0.57,--,354.69%,512.24%,3.71%,3.71%,,,,,
4/30/2014,0.55,--,338.44%,490.36%,1.43%,1.43%,,,,,
,,,,,,,,,,,
3/31/2014,0.54,--,332.25%,482.02%,0.62%,0.62%,,,,,
2/28/2014,0.54,--,329.60%,478.46%,3.20%,3.20%,,,,,
1/31/2014,0.52,--,316.28%,460.52%,-6.39%,-6.39%,,,,,
,,,,,,,,,,,
12/31/2013,0.56,0.00559,344.67%,498.75%,-1.65%,-0.66%,,,,,
11/29/2013,0.57,--,352.11%,502.72%,1.75%,1.75%,,,,,
10/31/2013,0.56,--,344.34%,492.36%,4.05%,4.05%,,,,,
,,,,,,,,,,,
9/30/2013,0.54,--,327.03%,469.28%,6.66%,6.66%,,,,,
8/30/2013,0.5,--,300.36%,433.73%,3.93%,3.93%,,,,,
7/31/2013,0.48,--,285.21%,413.53%,3.59%,3.59%,,,,,
,,,,,,,,,,,
6/28/2013,0.47,0.00022,271.87%,395.74%,-8.15%,-8.11%,,,,,
5/31/2013,0.51,--,304.87%,439.48%,0.43%,0.43%,,,,,
4/30/2013,0.51,--,303.13%,437.17%,-2.45%,-2.45%,,,,,
,,,,,,,,,,,
3/29/2013,0.52,0.00045,313.27%,450.68%,-4.06%,-3.97%,,,,,
2/28/2013,0.54,--,330.74%,473.46%,4.08%,4.08%,,,,,
1/31/2013,0.52,--,313.86%,450.98%,-4.31%,-4.31%,,,,,
,,,,,,,,,,,
12/31/2012,0.54,0.00481,332.52%,475.82%,5.47%,6.42%,,,,,
11/30/2012,0.52,--,310.08%,441.10%,2.57%,2.57%,,,,,
10/31/2012,0.5,--,299.82%,427.57%,-2.72%,-2.72%,,,,,
,,,,,,,,,,,
9/28/2012,0.52,--,311.00%,442.32%,6.72%,6.72%,,,,,
8/31/2012,0.48,--,285.12%,408.18%,-0.83%,-0.83%,,,,,
7/31/2012,0.49,--,288.33%,412.41%,3.39%,3.39%,,,,,
,,,,,,,,,,,
6/29/2012,0.47,0.00022,275.60%,395.62%,3.21%,3.26%,,,,,
5/31/2012,0.46,--,263.94%,379.98%,-11.38%,-11.38%,,,,,
4/30/2012,0.52,--,310.66%,441.60%,0.01%,0.01%,,,,,
,,,,,,,,,,,
3/30/2012,0.52,0.00046,310.62%,441.55%,-0.69%,-0.60%,,,,,
2/29/2012,0.52,--,313.47%,444.82%,4.79%,4.79%,,,,,
1/31/2012,0.5,--,294.56%,419.90%,10.37%,10.37%,,,,,
,,,,,,,,,,,
12/30/2011,0.45,0.00464,257.47%,371.03%,-2.24%,-1.23%,,,,,
11/30/2011,0.46,--,265.65%,376.88%,-5.90%,-5.90%,,,,,
10/31/2011,0.49,--,288.56%,406.76%,14.98%,14.98%,,,,,
,,,,,,,,,,,
9/30/2011,0.42,0,237.94%,340.74%,-13.34%,-13.34%,,,,,
8/31/2011,0.49,--,289.97%,408.58%,-13.23%,-13.23%,,,,,
7/29/2011,0.56,--,349.42%,486.12%,1.72%,1.72%,,,,,
,,,,,,,,,,,
6/30/2011,0.56,0.00069,341.80%,476.19%,-2.01%,-1.89%,,,,,
5/31/2011,0.57,--,350.88%,487.29%,-3.78%,-3.78%,,,,,
4/29/2011,0.59,--,368.61%,510.38%,6.98%,6.98%,,,,,
,,,,,,,,,,,
3/31/2011,0.55,0.00049,338.05%,470.58%,11.11%,11.21%,,,,,
2/28/2011,0.5,--,294.25%,413.07%,-6.47%,-6.47%,,,,,
1/31/2011,0.53,--,321.51%,448.54%,1.93%,1.93%,,,,,
,,,,,,,,,,,
12/31/2010,0.52,0.00524,313.51%,438.13%,11.44%,12.58%,,,,,
11/30/2010,0.47,--,271.06%,378.00%,0.04%,0.04%,,,,,
10/29/2010,0.47,--,270.92%,377.83%,1.19%,1.19%,,,,,
,,,,,,,,,,,
9/30/2010,0.46,0.00003,266.54%,372.19%,12.18%,12.19%,,,,,
8/31/2010,0.41,--,226.75%,320.90%,-2.59%,-2.59%,,,,,
