BCOMLHTR Index Settings Total Return Analysis,,,,,,
Range01/30/1987 -12/30/2022 Period Monthly Currency USD,,,,,,
Price  Open  Close Dividends  Net  Gross 431 Month Holding Period Chart,,,,,,
Bloomberg Lean Hogs Subindex Total Return Max Cuml Total Return 248.9211% On 10/29/1993,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return
9/28/2007,49.01,--,8.80%,13.76%,-10.21%,-10.21%
8/31/2007,54.58,--,21.17%,26.69%,-10.80%,-10.80%
7/31/2007,61.19,--,35.84%,42.03%,15.02%,15.02%
,,,,,,
6/29/2007,53.2,--,18.10%,23.48%,-4.12%,-4.12%
5/31/2007,55.49,--,23.17%,28.79%,-0.03%,-0.03%
4/30/2007,55.5,--,23.21%,28.83%,0.02%,0.02%
,,,,,,
3/30/2007,55.49,--,23.19%,28.80%,-3.15%,-3.15%
2/28/2007,57.29,--,27.19%,32.99%,-0.30%,-0.30%
1/31/2007,57.47,--,27.58%,33.39%,4.55%,4.55%
,,,,,,
12/29/2006,54.97,--,22.03%,27.59%,-4.96%,-4.96%
11/30/2006,57.84,--,28.39%,34.24%,-4.35%,-4.35%
10/31/2006,60.47,--,34.23%,40.35%,7.20%,7.20%
,,,,,,
9/29/2006,56.4,--,25.21%,30.92%,-5.78%,-5.78%
8/31/2006,59.86,--,32.89%,38.94%,8.81%,8.81%
7/31/2006,55.02,--,22.13%,27.70%,-1.00%,-1.00%
,,,,,,
6/30/2006,55.57,--,23.36%,28.98%,8.86%,8.86%
5/31/2006,51.05,--,13.32%,18.49%,-0.87%,-0.87%
4/28/2006,51.49,--,14.31%,19.52%,3.01%,3.01%
,,,,,,
3/31/2006,49.99,--,10.97%,16.03%,-7.78%,-7.78%
2/28/2006,54.2,--,20.33%,25.81%,-0.22%,-0.22%
1/31/2006,54.33,--,20.60%,26.10%,-11.51%,-11.51%
,,,,,,
12/30/2005,61.39,--,36.29%,42.50%,-2.76%,-2.76%
11/30/2005,63.14,--,40.16%,46.55%,3.63%,3.63%
10/31/2005,60.93,--,35.25%,41.42%,-2.33%,-2.33%
,,,,,,
9/30/2005,62.38,--,38.49%,44.80%,3.08%,3.08%
8/31/2005,60.52,--,34.35%,40.47%,11.08%,11.08%
7/29/2005,54.48,--,20.95%,26.46%,0.52%,0.52%
,,,,,,
6/30/2005,54.2,--,20.32%,25.81%,-7.66%,-7.66%
5/31/2005,58.7,--,30.30%,36.24%,-7.98%,-7.98%
4/29/2005,63.79,--,41.60%,48.06%,-2.08%,-2.08%
,,,,,,
3/31/2005,65.14,--,44.62%,51.21%,-1.49%,-1.49%
2/28/2005,66.13,--,46.80%,53.49%,-1.56%,-1.56%
1/31/2005,67.18,--,49.13%,55.93%,-2.23%,-2.23%
,,,,,,
12/31/2004,68.71,--,52.54%,59.49%,-0.79%,-0.79%
11/30/2004,69.26,--,53.75%,60.76%,14.81%,14.81%
10/29/2004,60.33,--,33.92%,40.02%,-2.29%,-2.29%
,,,,,,
9/30/2004,61.74,--,37.05%,43.30%,8.52%,8.52%
8/31/2004,56.89,--,26.30%,32.05%,-4.57%,-4.57%
7/30/2004,59.61,--,32.34%,38.37%,2.53%,2.53%
,,,,,,
6/30/2004,58.14,--,29.07%,34.95%,2.42%,2.42%
5/31/2004,56.76,--,26.02%,31.76%,0.80%,0.80%
4/30/2004,56.31,--,25.01%,30.71%,-0.69%,-0.69%
,,,,,,
3/31/2004,56.71,--,25.88%,31.62%,9.85%,9.85%
2/27/2004,51.62,--,14.60%,19.82%,4.85%,4.85%
1/30/2004,49.24,--,9.30%,14.28%,3.88%,3.88%
,,,,,,
12/31/2003,47.4,--,5.22%,10.01%,0.51%,0.51%
11/28/2003,47.16,--,4.68%,9.45%,-11.49%,-11.49%
10/31/2003,53.28,--,18.28%,23.67%,-0.43%,-0.43%
,,,,,,
9/30/2003,53.51,--,18.79%,24.21%,0.02%,0.02%
8/29/2003,53.5,--,18.77%,24.18%,6.86%,6.86%
7/31/2003,50.07,--,11.15%,16.22%,-10.66%,-10.66%
,,,,,,
6/30/2003,56.04,--,24.41%,30.08%,-5.92%,-5.92%
5/30/2003,59.57,--,32.24%,38.26%,5.80%,5.80%
4/30/2003,56.3,--,24.99%,30.68%,7.69%,7.69%
,,,,,,
3/31/2003,52.28,--,16.07%,21.36%,-10.17%,-10.17%
2/28/2003,58.2,--,29.20%,35.09%,-3.96%,-3.96%
1/31/2003,60.6,--,34.53%,40.66%,-1.69%,-1.69%
,,,,,,
12/31/2002,61.64,--,36.85%,43.08%,-4.51%,-4.51%
11/29/2002,64.56,--,43.31%,49.84%,9.09%,9.09%
10/31/2002,59.18,--,31.37%,37.36%,6.50%,6.50%
,,,,,,
9/30/2002,55.57,--,23.36%,28.98%,21.31%,21.31%
8/30/2002,45.8,--,1.68%,6.32%,-25.86%,-25.86%
7/31/2002,61.78,--,37.15%,43.39%,6.16%,6.16%
,,,,,,
6/28/2002,58.19,--,29.18%,35.07%,0.40%,0.40%
5/31/2002,57.96,--,28.67%,34.53%,-10.01%,-10.01%
4/30/2002,64.41,--,42.99%,49.51%,-13.83%,-13.83%
,,,,,,
3/29/2002,74.75,--,65.94%,73.50%,-12.63%,-12.63%
2/28/2002,85.55,--,89.92%,98.57%,-0.77%,-0.77%
1/31/2002,86.21,--,91.39%,100.11%,-1.98%,-1.98%
,,,,,,
12/31/2001,87.96,--,95.27%,104.17%,3.41%,3.41%
11/30/2001,85.06,--,88.82%,97.43%,-0.23%,-0.23%
10/31/2001,85.26,--,89.27%,97.89%,-5.60%,-5.60%
,,,,,,
9/28/2001,90.31,--,100.49%,109.63%,1.21%,1.21%
8/31/2001,89.24,--,98.10%,107.13%,-2.91%,-2.91%
7/31/2001,91.91,--,104.04%,113.34%,2.13%,2.13%
,,,,,,
6/29/2001,89.99,--,99.78%,108.89%,8.32%,8.32%
5/31/2001,83.08,--,84.44%,92.84%,2.08%,2.08%
4/30/2001,81.39,--,80.67%,88.91%,-1.73%,-1.73%
,,,,,,
3/30/2001,82.82,--,83.86%,92.24%,0.96%,0.96%
2/28/2001,82.03,--,82.11%,90.41%,10.31%,10.31%
1/31/2001,74.37,--,65.10%,72.62%,-2.61%,-2.61%
,,,,,,
12/29/2000,76.36,--,69.51%,77.24%,0.74%,0.74%
11/30/2000,75.79,--,68.26%,75.93%,5.29%,5.29%
